caseNumber,id,name,status,caseType,year,age,gender,city,county,state,dateAdded,lastVerified,sourceCount,caseUrl,summary
001,carol-denise-spinks,Carol Denise Spinks,unsolved,homicide,1971,13,female,Washington,,DC,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/carol-denise-spinks.html,"Carol Denise Spinks, 13, was abducted in Southeast Washington, D.C. on April 25, 1971, while walking home from a neighborhood store. Her body was found six days later along I-295 near Suitland Parkway. Her case is treated as the first of six killings linked to the unidentified offender the press dubbed the “Freeway Phantom.”"
002,darlenia-denise-johnson,Darlenia Denise Johnson,unsolved,homicide,1971,16,female,Washington,,DC,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/darlenia-denise-johnson.html,"Darlenia Denise Johnson, 16, of the Congress Heights neighborhood, was abducted on July 8, 1971 while on her way to her summer job at the Oxon Hill Recreation Center. A witness reported seeing her in an old black car shortly afterward. Her body was found eleven days later, only about 15 feet from where Carol Spinks had been found."
003,brenda-faye-crockett,Brenda Faye Crockett,unsolved,homicide,1971,10,female,Washington,,DC,2026-08-21,2026-08-21,4,https://www.unsolvedblackcases.com/cases/brenda-faye-crockett.html,"Brenda Faye Crockett, 10, disappeared on July 27, 1971 after her mother sent her to a neighborhood store. Family members reported receiving two phone calls from Brenda after she went missing, in which she described being taken by a man; her body was found the next morning. She was the youngest of the six victims linked to the Freeway Phantom case."
004,nenomoshia-yates,Nenomoshia Yates,unsolved,homicide,1971,12,female,Washington,,DC,2026-08-21,2026-08-21,4,https://www.unsolvedblackcases.com/cases/nenomoshia-yates.html,"Nenomoshia Yates, 12, disappeared on October 1, 1971 while returning from a neighborhood grocery store. She was the fourth victim linked to the Freeway Phantom case."
005,brenda-denise-woodard,Brenda Denise Woodard,unsolved,homicide,1971,18,female,Washington,,DC,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/brenda-denise-woodard.html,"Brenda Denise Woodard, 18, was abducted on the night of November 15, 1971 after leaving night school and stopping for dinner with a friend; she was the fifth victim linked to the Freeway Phantom case in Washington, D.C. A note found in her coat pocket, reportedly written in her own handwriting under apparent dictation, taunted police with the phrase “Catch me if you can.”"
006,diane-denise-williams,Diane Denise Williams,unsolved,homicide,1972,17,female,Washington,,DC,2026-08-21,2026-08-21,4,https://www.unsolvedblackcases.com/cases/diane-denise-williams.html,"Diane Denise Williams, 17, a Ballou High School senior, was taken on September 5, 1972 — the sixth and final victim linked to the Freeway Phantom case in Washington, D.C."
007,harry-and-harriette-moore,Harry T. Moore & Harriette Moore,unsolved,homicide,1951,,,Mims,Brevard,FL,2026-08-21,2026-08-21,6,https://www.unsolvedblackcases.com/cases/harry-and-harriette-moore.html,"Harry T. Moore, a founder of the Brevard County NAACP and executive secretary of the Florida NAACP, and his wife Harriette Moore, a teacher and fellow organizer, were killed when a bomb exploded under their bedroom floor on their 25th wedding anniversary, Christmas night 1951. Harry died that night; Harriette died of her injuries nine days later. A 2006 Florida Attorney General investigation concluded the bombing was carried out by four Ku Klux Klan members — Earl J. Brooklyn, Tillman H. Belvin, Joseph N. Cox, and Edward L. Spivey — all of whom had died before the finding was announced. The FBI reviewed the case again in 2008 under the Emmett Till Unsolved Civil Rights Crime Act; the U.S. Department of Justice formally closed the file in 2011, since the statute of limitations had expired and all four men were dead."
008,roman-ducksworth-jr,Roman Ducksworth Jr.,unsolved,homicide,1962,27,male,Taylorsville,Smith,MS,2026-08-21,2026-08-21,4,https://www.unsolvedblackcases.com/cases/roman-ducksworth-jr.html,"Corporal Roman Ducksworth Jr., a 27-year-old U.S. Army military police officer, was traveling home on emergency leave to see his wife, who was hospitalized with pregnancy complications, when he was removed from a bus by Taylorsville, Mississippi police officer William Kelly on April 9, 1962. Kelly shot Ducksworth twice, fatally wounding him. Kelly was never charged; he claimed self-defense. The U.S. Department of Justice reviewed the case under the Emmett Till Act and formally closed the file in 2010 without prosecution, since Kelly had since died."
009,hattie-debardelaben,Hattie DeBardelaben,unsolved,homicide,1945,46,female,Autaugaville,Autauga,AL,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/hattie-debardelaben.html,"Hattie DeBardelaben, a 46-year-old farmer and mother of eight, was killed on March 23, 1945 in Autaugaville, Alabama, after Autauga County Deputy Clyde White and three federal officers — John Barrenbrugge and J.C. Moseley of the Alcohol Tax Unit, and L.O. Smith of the Alabama Alcohol Beverage Control Board — conducted a warrantless search of her home for illegal whiskey. Witnesses, including her children, said officers beat her; she died in the back of the officers' car on the way to the county jail in Prattville. A doctor attributed her death to a heart attack, though an undertaker reportedly noted signs consistent with a broken neck. A state grand jury later declined to indict, and the case was closed within months. Records released in 2024 under the Civil Rights Cold Case Records Collection Act confirmed the officers' identities and the case's handling."
010,edwin-pratt,Edwin Pratt,unsolved,homicide,1969,38,male,Shoreline,King,WA,2026-08-21,2026-08-21,5,https://www.unsolvedblackcases.com/cases/edwin-pratt.html,"Edwin T. Pratt, 38, executive director of the Seattle Urban League and a leading figure in the city's civil rights movement, was shot and killed in the doorway of his Shoreline home on the night of January 26, 1969. Two men were seen fleeing to a getaway car. No one was ever charged. A 2022 U.S. Department of Justice notice closing the file names four individuals — Thomas Kirk, Texas Barton Gray, Michael Jordan, and Guenter Mannhalt, all since deceased — as subjects of the investigation, without a conclusive finding."
